1,Aman - Petrecere cu lautari,Cronica vizuală a Bucureștiului,București,1880,1
2,Grigorescu - Peisaj de vară,Studiu în aer liber,București,1895,1
3,Luchian - Portret de femeie,Ulei pe pânză,Iași,1902,1
4,Van Gogh - Noapte înstelată,Ulei pe pânză,Olanda,1889,2
5,Picasso - Les Demoiselles d'Avignon, Ulei pe pânză,Franța,1907,2
6,Monet - Nufărul roz, Ulei pe pânză,Franța,1907,2
7,Hokusai - Marele val de la Kanagawa,Ukiyo-e,Japonia,1831,3
8,Li Bai - Peisaj în stil chinezesc, Caiet de poezii și picturi,China,sec. al VIII-lea,3
9,Shahnameh - Ilustrație din povestea lui Rostam și Sohrab,Miniatură persană,Iran,sec. al XVI-lea,3
10,Portretul lui Mihai Viteazul,Pictură în ulei,Sec. al XVI-lea,Muzeul Național de Istorie,4
11,Harta Principatelor Române,Gravură,Sec. al XIX-lea,Arhivele Naționale,4
12,Sabia lui Decebal,Artefact arheologic,Sec. al II-lea,Muzeul Național de Istorie,4
13,Amforă grecească,Ceramică,Sec. al V-lea î.Hr.,Muzeul Național de Arheologie,5
14,Statuia lui Venus,Marmură,Sec. al II-lea d.Hr.,Muzeul de Istorie și Arheologie Constanța,5
15,Piatră Runică,Artefact arheologic,Sec. al X-lea,Muzeul de Istorie și Arheologie Timișoara,5
16,Scut medieval,Oțel și lemn,Sec. al XIII-lea,Castelul Hunedoara,6
17,Evangheliar iluminat,Pergament,Sec. al XIV-lea,Muzeul de Artă Medievală Brașov,6
18,Armură completă de cavaler,Oțel,Sec. al XV-lea,Muzeul de Istorie Cluj-Napoca,6
19,Icoană pe sticlă,Sticlă și tempera,Sec. al XIX-lea,Muzeul Satului București,7
20,Ceramică tradițională,Ceramică smălțuită,Sec. al XVIII-lea,Muzeul de Etnografie și Artă Populară Constanța,7
21,Costume populare,Textile și broderii,Sec. al XX-lea,Muzeul Național al Țăranului Român,7
22,Casă tradițională din lemn,Lemn și paiantă,Sec. al XIX-lea,Muzeul Satului Maramureș,8
23,Arhitectură vernaculară,Căsuțe din lut și paie,Sec. al XVIII-lea,Muzeul Național de Artă Populară București,8
24,Căsuță țărănească,Lemn și bârne,Sec. al XX-lea,Muzeul Etnografic al Transilvaniei Cluj-Napoca,8
25,Port popular bănățean,Textile și broderii,Sec. al XIX-lea,Muzeul Satului Bănățean,9
26,Obiecte de port popular,Piese de îmbrăcăminte și accesorii,Sec. al XX-lea,Muzeul de Etnografie Reșița,9
27,Datini și tradiții bănățene,Obiecte de uz casnic și ritual,Sec. al XVIII-lea,Muzeul Banatului Timișoara,9
